Customer ID,Age,Gender,City,Education,Occupation,Annual Income (₹),Join Date,Total Spend (₹),Purchase Frequency,Recency (days),Avg Order Value (₹),Satisfaction Score,Online Purchase Ratio,Discount Sensitivity,Loyalty Score,Sessions per Month,Cart Abandonment Rate,Preferred Channel,Payment Method,Top Category 1,Top Category 2,Returns Count,Referrals Made,Archetype
"CUST-00011",52,"Male","Indore","PhD","Government Employee",330247,"2022-02-15",69947,1,22,9546,4.1,0.7,0.14,879,24,0.12,"Social Media","Debit Card","Grocery","Home Decor",1,3,"Premium"
"CUST-00012",41,"Other","Bhopal","High School","Designer",62859,"2020-06-26",10847,25,9,310,4.2,0.64,0.57,743,35,0.28,"Word of Mouth","EMI","Books","Grocery",2,8,"Loyal"
"CUST-00013",55,"Other","Delhi","High School","Freelancer",157563,"2022-05-15",79301,3,22,9963,4.1,0.58,0.2,783,10,0.18,"Social Media","Credit Card","Health","Beauty",0,3,"Premium"
"CUST-00014",42,"Female","Surat","Diploma","Engineer",75650,"2021-04-17",22929,44,4,458,4.8,0.62,0.32,749,42,0.18,"Social Media","EMI","Books","Health",5,3,"Loyal"
"CUST-00015",37,"Other","Hyderabad","Master","Teacher",240090,"2021-10-12",48005,10,22,10056,4.4,0.56,0.25,760,14,0.13,"Social Media","UPI","Grocery","Health",0,0,"Premium"
"CUST-00016",31,"Female","Mumbai","High School","Student",24319,"2023-02-06",894,2,26,153,3.2,1,0.86,104,15,0.54,"In-Store","Credit Card","Health","Sports",1,1,"Budget"
"CUST-00017",42,"Other","Chennai","Diploma","Retired",51858,"2020-06-01",8587,1,369,9189,1.9,0.39,0.7,270,7,0.69,"Website","Credit Card","Fashion","Home Decor",4,2,"At-Risk"
"CUST-00018",32,"Female","Kolkata","High School","Teacher",33811,"2021-03-23",2407,3,49,704,3.2,0.73,0.8,196,9,0.71,"Social Media","UPI","Fashion","Home Decor",4,0,"Budget"
"CUST-00019",54,"Female","Jaipur","PhD","Teacher",69553,"2022-02-15",9999,1,222,2674,2.4,0.47,0.53,541,5,0.68,"Mobile App","UPI","Books","Beauty",1,2,"At-Risk"
"CUST-00020",23,"Male","Chennai","Bachelor","Teacher",245371,"2020-01-08",57326,3,7,21694,5,0.51,0.12,847,15,0.2,"Email Campaign","UPI","Food Delivery","Books",0,1,"Premium"
"CUST-00021",40,"Other","Indore","Diploma","Business Owner",98684,"2020-06-05",12570,36,11,562,4.4,0.39,0.31,914,49,0.24,"Social Media","Debit Card","Books","Health",5,2,"Loyal"
"CUST-00022",47,"Male","Chennai","Bachelor","Analyst",42219,"2020-04-10",7973,4,104,3262,2.4,0.56,0.61,354,3,0.45,"In-Store","Credit Card","Grocery","Sports",5,0,"At-Risk"
"CUST-00023",28,"Male","Indore","Diploma","Analyst",166949,"2021-09-04",99240,7,8,10321,4.8,0.66,0.3,751,8,0.08,"Website","Debit Card","Grocery","Electronics",0,0,"Premium"
"CUST-00024",29,"Male","Jaipur","High School","Teacher",105293,"2020-08-22",15545,34,3,348,4.5,0.65,0.58,910,26,0.17,"Mobile App","Net Banking","Sports","Travel",4,1,"Loyal"
"CUST-00025",41,"Female","Lucknow","PhD","Manager",91392,"2023-05-28",4522,1,183,5553,1.7,0.42,0.57,287,17,0.47,"Mobile App","Net Banking","Sports","Electronics",3,1,"At-Risk"
"CUST-00026",31,"Other","Pune","Bachelor","Doctor",26255,"2022-04-13",4544,7,36,1116,2.8,0.62,0.97,234,15,0.41,"Website","UPI","Fashion","Sports",5,1,"Budget"
"CUST-00027",59,"Male","Jaipur","High School","Engineer",125173,"2021-04-25",7216,1,102,1584,2.9,0.4,0.57,374,3,0.53,"Website","EMI","Home Decor","Grocery",0,1,"At-Risk"
"CUST-00028",50,"Male","Chandigarh","Master","Freelancer",116252,"2022-08-06",15427,18,1,904,4.9,0.4,0.51,901,57,0.18,"Email Campaign","EMI","Travel","Health",3,6,"Loyal"
"CUST-00029",27,"Other","Hyderabad","High School","Teacher",60013,"2021-09-07",16640,32,7,444,4.2,0.34,0.51,668,15,0.19,"Word of Mouth","UPI","Food Delivery","Health",3,5,"Loyal"
"CUST-00030",29,"Other","Bhopal","Diploma","Teacher",24806,"2021-11-05",1932,3,53,734,3.8,0.92,0.77,333,16,0.44,"In-Store","Debit Card","Home Decor","Food Delivery",4,2,"Budget"
"CUST-00031",38,"Female","Bangalore","High School","Government Employee",33817,"2022-04-01",4496,1,144,4226,2,0.28,0.5,525,6,0.4,"Website","EMI","Home Decor","Food Delivery",2,3,"At-Risk"
"CUST-00032",30,"Female","Coimbatore","Diploma","Freelancer",114568,"2021-01-17",2668,29,7,203,4.7,0.49,0.55,894,39,0.29,"In-Store","Debit Card","Home Decor","Grocery",1,1,"Loyal"
"CUST-00033",29,"Male","Kolkata","Bachelor","Business Owner",16651,"2023-08-17",968,5,63,270,3.3,0.94,0.95,273,27,0.56,"In-Store","Cash","Sports","Fashion",3,3,"Budget"
"CUST-00034",22,"Other","Ahmedabad","Bachelor","Engineer",42064,"2023-11-22",977,1,37,369,3.3,0.98,0.9,356,28,0.77,"Mobile App","Debit Card","Grocery","Travel",0,2,"Budget"
"CUST-00035",46,"Male","Mumbai","Diploma","Manager",94646,"2022-03-05",9123,1,169,1535,2.7,0.53,0.58,479,11,0.36,"Word of Mouth","Credit Card","Food Delivery","Travel",0,1,"At-Risk"
"CUST-00036",47,"Male","Surat","High School","Analyst",196913,"2021-07-18",25339,6,12,16979,4.9,0.77,0.21,778,20,0.18,"Email Campaign","Debit Card","Books","Travel",2,1,"Premium"
"CUST-00037",29,"Male","Bhopal","Diploma","Teacher",92417,"2020-11-28",25922,33,7,470,4.6,0.35,0.47,606,45,0.26,"Mobile App","Debit Card","Grocery","Beauty",3,4,"Loyal"
"CUST-00038",36,"Female","Kolkata","High School","Government Employee",47624,"2020-12-03",1249,1,39,616,3,0.76,0.85,318,27,0.59,"Social Media","Cash","Home Decor","Fashion",3,3,"Budget"
"CUST-00039",53,"Other","Coimbatore","Bachelor","Doctor",40684,"2020-02-27",7999,1,249,2295,1.7,0.46,0.76,280,8,0.46,"Word of Mouth","Net Banking","Home Decor","Grocery",0,0,"At-Risk"
"CUST-00040",36,"Other","Chandigarh","Diploma","Analyst",31259,"2020-12-12",1629,1,25,1632,2.9,0.62,0.86,147,23,0.66,"Social Media","EMI","Food Delivery","Health",2,2,"Budget"
"CUST-00041",28,"Female","Jaipur","Diploma","Engineer",34505,"2023-07-25",4835,11,87,910,2.9,0.72,0.7,120,12,0.42,"Email Campaign","Net Banking","Home Decor","Beauty",1,1,"Budget"
"CUST-00042",33,"Male","Ahmedabad","Bachelor","Salesperson",43606,"2022-11-17",6481,41,4,125,4.5,0.47,0.4,860,42,0.3,"In-Store","Credit Card","Electronics","Home Decor",4,6,"Loyal"
"CUST-00043",39,"Male","Chennai","High School","Analyst",20006,"2020-08-16",511,5,42,267,3.5,0.65,0.76,334,22,0.48,"Website","UPI","Sports","Health",2,3,"Budget"
"CUST-00044",31,"Other","Delhi","Diploma","Government Employee",85526,"2023-01-04",14024,39,14,305,4.1,0.6,0.57,708,19,0.12,"Email Campaign","Credit Card","Food Delivery","Home Decor",1,6,"Loyal"
"CUST-00045",50,"Male","Ahmedabad","Master","Business Owner",42606,"2021-09-19",5747,1,87,2732,1.7,0.33,0.53,519,10,0.58,"Word of Mouth","Debit Card","Travel","Fashion",3,0,"At-Risk"
"CUST-00046",48,"Female","Coimbatore","Master","Government Employee",75383,"2022-09-19",16169,19,3,1075,4.8,0.45,0.4,728,39,0.24,"Social Media","Net Banking","Health","Books",3,2,"Loyal"
"CUST-00047",33,"Female","Bangalore","Bachelor","Teacher",26858,"2021-02-12",5464,1,32,2787,3.5,0.99,0.77,131,23,0.56,"Mobile App","Credit Card","Home Decor","Food Delivery",5,1,"Budget"
"CUST-00048",44,"Male","Chennai","Diploma","Doctor",78215,"2023-06-01",11004,34,1,416,4.8,0.52,0.58,937,54,0.11,"Website","Debit Card","Travel","Sports",3,8,"Loyal"
"CUST-00049",39,"Female","Delhi","High School","Teacher",50161,"2022-12-10",3490,1,68,1177,3,0.4,0.52,549,6,0.6,"In-Store","Cash","Travel","Beauty",3,2,"At-Risk"
"CUST-00050",47,"Female","Bhopal","PhD","Manager",76321,"2023-03-12",15737,20,2,800,4.2,0.69,0.41,780,34,0.24,"In-Store","EMI","Home Decor","Food Delivery",3,8,"Loyal"
"CUST-00051",46,"Female","Jaipur","Master","Teacher",48782,"2020-10-19",12305,29,2,520,3.9,0.38,0.31,768,51,0.25,"Social Media","EMI","Travel","Books",1,1,"Loyal"
"CUST-00052",58,"Female","Chandigarh","Master","Government Employee",137348,"2021-04-04",60313,9,33,18369,4.2,0.53,0.12,765,26,0.08,"Website","Cash","Home Decor","Travel",2,1,"Premium"
"CUST-00053",38,"Other","Chandigarh","Diploma","Freelancer",73531,"2023-06-07",18623,34,4,430,4.3,0.68,0.36,901,51,0.32,"Website","Net Banking","Sports","Electronics",4,5,"Loyal"
"CUST-00054",39,"Other","Kolkata","PhD","Business Owner",168351,"2021-11-19",94753,8,4,25753,4.2,0.57,0.23,994,17,0.09,"Word of Mouth","Cash","Health","Food Delivery",0,1,"Premium"
"CUST-00055",51,"Female","Chandigarh","PhD","Business Owner",88901,"2020-01-01",7132,28,9,308,4.1,0.64,0.35,744,16,0.2,"Word of Mouth","Debit Card","Electronics","Home Decor",4,3,"Loyal"
"CUST-00056",27,"Other","Delhi","Bachelor","Analyst",18492,"2021-06-08",762,2,99,781,3.3,0.74,0.96,141,18,0.67,"Social Media","Cash","Home Decor","Electronics",2,1,"Budget"
"CUST-00057",34,"Female","Chennai","PhD","Business Owner",317155,"2023-08-24",39883,9,7,6524,4.5,0.72,0.18,815,13,0.19,"Website","Debit Card","Food Delivery","Health",1,3,"Premium"
"CUST-00058",63,"Other","Pune","Diploma","Analyst",65226,"2022-01-21",3109,1,492,1205,1.9,0.36,0.79,313,4,0.61,"Mobile App","Debit Card","Travel","Grocery",1,3,"At-Risk"
"CUST-00059",40,"Female","Hyderabad","Diploma","Teacher",26951,"2023-12-20",2970,4,115,1436,2.3,0.25,0.4,283,4,0.6,"In-Store","UPI","Fashion","Beauty",3,0,"At-Risk"
"CUST-00060",56,"Female","Chennai","PhD","Government Employee",83014,"2023-08-22",11632,17,9,437,4,0.47,0.57,942,30,0.24,"Social Media","Credit Card","Grocery","Food Delivery",1,8,"Loyal"
"CUST-00061",31,"Other","Lucknow","Bachelor","Analyst",32263,"2021-03-07",4355,3,85,1304,2.7,0.95,0.87,239,29,0.6,"Social Media","UPI","Food Delivery","Travel",4,2,"Budget"
"CUST-00062",39,"Female","Chandigarh","Master","Business Owner",56209,"2023-01-20",21614,28,5,643,4.9,0.68,0.53,724,41,0.33,"Social Media","Debit Card","Sports","Electronics",3,7,"Loyal"
"CUST-00063",43,"Male","Bangalore","Master","Retired",91359,"2022-10-25",53333,1,26,29344,4.4,0.55,0.14,867,17,0.18,"Mobile App","Debit Card","Books","Beauty",1,0,"Premium"
"CUST-00064",33,"Female","Bangalore","High School","Engineer",65271,"2023-10-26",15525,20,3,532,4.6,0.33,0.43,786,21,0.22,"Email Campaign","EMI","Grocery","Electronics",1,5,"Loyal"
"CUST-00065",24,"Other","Chennai","Master","Business Owner",89934,"2023-03-22",8924,16,8,807,4.5,0.5,0.32,922,63,0.24,"Word of Mouth","Credit Card","Books","Grocery",5,5,"Loyal"
"CUST-00066",32,"Female","Mumbai","Master","Retired",68190,"2022-08-04",6045,18,11,365,4.1,0.47,0.48,934,30,0.33,"In-Store","UPI","Home Decor","Electronics",2,8,"Loyal"
"CUST-00067",18,"Other","Lucknow","High School","Doctor",41750,"2021-11-12",1543,1,51,816,2.7,0.61,0.75,294,28,0.51,"Email Campaign","EMI","Books","Electronics",2,3,"Budget"
"CUST-00068",56,"Female","Kolkata","Master","Student",56750,"2022-11-01",5058,1,274,6758,2.2,0.22,0.58,570,16,0.53,"Mobile App","Cash","Health","Travel",3,2,"At-Risk"
"CUST-00069",36,"Female","Bangalore","Master","Government Employee",63903,"2021-02-04",5203,1,374,1780,3.2,0.43,0.71,520,14,0.58,"Website","EMI","Sports","Travel",3,2,"At-Risk"
"CUST-00070",35,"Male","Chennai","PhD","Teacher",72198,"2023-05-05",10013,20,5,488,4.8,0.5,0.46,719,19,0.29,"In-Store","Debit Card","Home Decor","Health",5,3,"Loyal"
"CUST-00071",34,"Female","Bhopal","High School","Government Employee",58969,"2022-09-17",7558,1,225,1970,2.4,0.3,0.68,255,4,0.3,"Word of Mouth","EMI","Books","Home Decor",1,2,"At-Risk"
"CUST-00072",55,"Other","Delhi","Diploma","Freelancer",41988,"2020-03-05",10511,4,373,2159,2.2,0.44,0.66,561,1,0.49,"Social Media","Net Banking","Books","Travel",2,0,"At-Risk"
"CUST-00073",44,"Female","Chennai","High School","Designer",97700,"2023-07-11",9844,36,3,388,4.4,0.53,0.37,711,30,0.12,"Website","Cash","Books","Sports",5,8,"Loyal"
"CUST-00074",34,"Other","Bangalore","PhD","Designer",126697,"2021-01-18",13904,43,2,352,4,0.68,0.47,696,19,0.24,"Word of Mouth","EMI","Grocery","Electronics",2,1,"Loyal"
"CUST-00075",47,"Female","Coimbatore","Master","Freelancer",165461,"2022-07-04",5018,5,38,6198,4.3,0.63,0.15,829,7,0.18,"Social Media","Credit Card","Food Delivery","Fashion",1,1,"Premium"
"CUST-00076",18,"Male","Pune","Master","Salesperson",45259,"2021-11-02",5117,6,18,1452,3.4,0.97,0.93,169,21,0.71,"Website","Debit Card","Beauty","Grocery",5,1,"Budget"
"CUST-00077",35,"Other","Jaipur","Bachelor","Teacher",249343,"2022-04-19",41239,7,10,13140,4.4,0.87,0.23,871,21,0.06,"Mobile App","Cash","Beauty","Food Delivery",2,3,"Premium"
"CUST-00078",28,"Other","Bhopal","High School","Government Employee",284636,"2023-04-23",52780,11,27,12882,4.9,0.78,0.26,853,35,0.1,"Word of Mouth","EMI","Grocery","Food Delivery",0,1,"Premium"
"CUST-00079",45,"Male","Ahmedabad","High School","Student",65122,"2022-06-26",6671,4,272,3398,2.9,0.49,0.43,581,8,0.37,"Mobile App","Debit Card","Fashion","Health",4,3,"At-Risk"
"CUST-00080",39,"Other","Lucknow","Master","Teacher",111723,"2020-03-27",15283,17,4,792,4.1,0.68,0.32,827,38,0.15,"Word of Mouth","Debit Card","Sports","Health",3,0,"Loyal"
"CUST-00081",34,"Male","Mumbai","Master","Business Owner",153282,"2022-05-05",14491,35,4,449,4.9,0.61,0.46,776,45,0.16,"Word of Mouth","Credit Card","Beauty","Sports",4,2,"Loyal"
"CUST-00082",27,"Female","Indore","Diploma","Manager",25403,"2020-10-11",3058,2,81,756,3.6,0.71,0.78,287,18,0.65,"Mobile App","Debit Card","Food Delivery","Beauty",1,2,"Budget"
"CUST-00083",30,"Male","Kolkata","Diploma","Engineer",13292,"2023-11-13",1053,6,69,277,3.3,0.88,0.72,341,16,0.78,"Website","Net Banking","Sports","Fashion",5,0,"Budget"
"CUST-00084",41,"Female","Surat","Diploma","Government Employee",264857,"2021-02-03",68987,5,8,15708,4.9,0.62,0.1,936,20,0.19,"Social Media","Debit Card","Health","Electronics",2,1,"Premium"
"CUST-00085",36,"Male","Jaipur","Bachelor","Doctor",43546,"2022-11-07",5040,3,379,3490,1.8,0.3,0.51,430,1,0.38,"Word of Mouth","Net Banking","Books","Home Decor",4,3,"At-Risk"
"CUST-00086",67,"Male","Indore","PhD","Government Employee",115668,"2020-08-09",3087,2,222,6159,2.5,0.46,0.7,403,5,0.36,"Email Campaign","Debit Card","Health","Fashion",5,0,"At-Risk"
"CUST-00087",22,"Female","Lucknow","Master","Business Owner",33395,"2020-10-10",4591,2,181,4166,3.7,0.88,0.81,220,23,0.72,"Email Campaign","Credit Card","Fashion","Sports",2,3,"Budget"
"CUST-00088",18,"Female","Delhi","Diploma","Teacher",27372,"2022-07-11",420,4,101,138,3.2,0.7,0.86,368,29,0.43,"Word of Mouth","Cash","Sports","Food Delivery",5,3,"Budget"
"CUST-00089",41,"Other","Chennai","High School","Freelancer",272706,"2020-12-01",87350,5,15,19347,4.2,0.83,0.26,853,10,0.08,"Word of Mouth","Debit Card","Grocery","Beauty",2,3,"Premium"
"CUST-00090",19,"Male","Bhopal","Bachelor","Designer",44862,"2023-11-24",5222,2,87,4324,3.3,0.72,0.97,350,12,0.54,"Mobile App","Debit Card","Beauty","Electronics",2,1,"Budget"
"CUST-00091",26,"Other","Mumbai","Master","Designer",303292,"2023-02-02",15908,5,16,7124,4.5,0.82,0.24,774,28,0.2,"Word of Mouth","Cash","Home Decor","Travel",2,1,"Premium"
"CUST-00092",31,"Female","Delhi","High School","Doctor",26439,"2020-02-20",2175,5,61,959,3.2,0.76,0.86,308,25,0.74,"Word of Mouth","Credit Card","Electronics","Grocery",5,2,"Budget"
"CUST-00093",40,"Male","Lucknow","PhD","Teacher",121622,"2022-10-26",3892,29,11,259,4.8,0.53,0.48,936,26,0.28,"Mobile App","UPI","Books","Beauty",0,7,"Loyal"
"CUST-00094",41,"Male","Chandigarh","Diploma","Doctor",77038,"2021-06-28",5857,34,4,201,4.2,0.48,0.48,744,33,0.15,"Social Media","Debit Card","Sports","Travel",5,7,"Loyal"
"CUST-00095",18,"Other","Lucknow","Master","Student",94687,"2020-03-24",24351,36,4,540,4.6,0.34,0.44,947,47,0.16,"In-Store","Net Banking","Sports","Electronics",2,0,"Loyal"
"CUST-00096",18,"Other","Chandigarh","PhD","Engineer",21673,"2022-12-01",1521,5,26,3689,3.4,0.64,0.8,186,19,0.66,"Website","UPI","Electronics","Home Decor",0,3,"Budget"
"CUST-00097",18,"Male","Ahmedabad","High School","Engineer",26415,"2020-05-27",873,2,53,194,3.4,0.65,0.79,234,7,0.49,"Email Campaign","UPI","Home Decor","Travel",2,3,"Budget"
"CUST-00098",18,"Other","Hyderabad","PhD","Business Owner",31926,"2021-12-14",2399,9,66,385,2.9,0.89,0.73,145,24,0.76,"Social Media","Net Banking","Food Delivery","Grocery",0,1,"Budget"
"CUST-00099",55,"Male","Chandigarh","PhD","Government Employee",201713,"2020-07-25",88275,6,4,35551,4.3,0.83,0.18,977,19,0.09,"Email Campaign","EMI","Food Delivery","Electronics",1,3,"Premium"
"CUST-00100",29,"Other","Delhi","High School","Business Owner",12778,"2021-12-11",1395,8,73,1564,3.1,0.69,0.74,339,21,0.53,"Website","Credit Card","Travel","Electronics",2,2,"Budget"
"CUST-00101",36,"Other","Coimbatore","High School","Salesperson",87357,"2023-03-14",14431,40,15,335,5,0.31,0.6,907,28,0.33,"Word of Mouth","UPI","Travel","Health",2,7,"Loyal"
"CUST-00102",27,"Female","Chennai","PhD","Manager",13992,"2023-06-02",3758,7,66,680,2.6,0.72,0.75,258,29,0.67,"In-Store","UPI","Grocery","Home Decor",0,0,"Budget"
"CUST-00103",34,"Other","Indore","Master","Salesperson",59655,"2020-06-07",8135,36,6,226,4.8,0.45,0.31,626,53,0.18,"Social Media","Net Banking","Electronics","Grocery",3,1,"Loyal"
"CUST-00104",37,"Male","Pune","Bachelor","Manager",81988,"2021-04-13",11565,1,378,2511,1.9,0.21,0.68,442,3,0.58,"Social Media","Cash","Health","Books",3,1,"At-Risk"
"CUST-00105",30,"Male","Jaipur","PhD","Government Employee",95238,"2020-04-25",18156,25,8,731,4.5,0.57,0.39,766,58,0.27,"Website","Credit Card","Fashion","Home Decor",3,5,"Loyal"
"CUST-00106",47,"Female","Indore","Diploma","Doctor",60683,"2021-05-15",6961,23,10,440,4.1,0.47,0.55,734,45,0.3,"In-Store","EMI","Home Decor","Fashion",0,2,"Loyal"
"CUST-00107",31,"Other","Bhopal","High School","Teacher",31469,"2022-01-07",4816,8,30,1218,3.7,0.74,0.89,317,20,0.62,"Website","Credit Card","Beauty","Fashion",3,3,"Budget"
"CUST-00108",37,"Female","Delhi","High School","Designer",343410,"2022-02-24",15799,4,14,3385,4.7,0.76,0.14,925,16,0.16,"In-Store","Net Banking","Home Decor","Sports",2,2,"Premium"
"CUST-00109",28,"Female","Hyderabad","Diploma","Manager",16874,"2021-01-20",2305,3,60,1296,3.6,0.91,0.93,171,23,0.54,"Website","Credit Card","Health","Fashion",1,2,"Budget"
"CUST-00110",33,"Male","Chandigarh","PhD","Government Employee",62564,"2020-03-22",10142,15,2,480,4.4,0.52,0.38,756,37,0.3,"Social Media","Net Banking","Beauty","Fashion",3,4,"Loyal"
"CUST-00111",54,"Female","Chandigarh","High School","Student",185469,"2023-07-27",67776,2,2,23586,4.3,0.62,0.11,934,7,0.14,"Website","Net Banking","Health","Travel",0,3,"Premium"
"CUST-00112",58,"Male","Pune","Diploma","Retired",54221,"2022-05-17",5530,7,210,1812,2.7,0.57,0.65,210,5,0.4,"Website","UPI","Sports","Food Delivery",4,1,"At-Risk"
"CUST-00113",38,"Other","Bangalore","Master","Manager",285429,"2022-08-24",86367,3,24,10363,4.6,0.76,0.27,971,23,0.11,"Mobile App","EMI","Sports","Fashion",1,3,"Premium"
"CUST-00114",32,"Male","Chandigarh","Bachelor","Student",67432,"2020-01-15",4294,3,250,1549,2.1,0.52,0.6,544,8,0.32,"Email Campaign","Debit Card","Health","Fashion",3,3,"At-Risk"
"CUST-00115",57,"Other","Chennai","High School","Designer",199585,"2023-04-25",70879,6,20,13243,4.1,0.57,0.29,988,17,0.1,"Email Campaign","EMI","Beauty","Books",0,1,"Premium"
"CUST-00116",18,"Female","Hyderabad","Master","Student",27316,"2020-05-02",1594,3,34,1059,2.7,0.84,0.89,137,7,0.63,"Word of Mouth","Net Banking","Health","Food Delivery",5,1,"Budget"
"CUST-00117",60,"Other","Bangalore","Master","Business Owner",49456,"2022-11-11",2379,1,186,2650,2.8,0.27,0.42,426,16,0.54,"Word of Mouth","Debit Card","Electronics","Health",3,3,"At-Risk"
"CUST-00118",56,"Male","Jaipur","High School","Business Owner",375665,"2023-10-18",65285,7,6,13909,4.8,0.78,0.11,847,14,0.11,"Website","UPI","Fashion","Travel",2,0,"Premium"
"CUST-00119",58,"Female","Bangalore","Bachelor","Manager",441604,"2023-09-14",40316,7,14,6572,4.4,0.68,0.23,909,16,0.19,"In-Store","Cash","Electronics","Sports",1,0,"Premium"
"CUST-00120",31,"Female","Bhopal","Bachelor","Teacher",48252,"2023-04-04",12174,20,1,777,4.8,0.51,0.31,639,39,0.24,"Email Campaign","Net Banking","Health","Electronics",3,2,"Loyal"
"CUST-00121",26,"Other","Pune","PhD","Freelancer",25919,"2023-09-07",721,4,86,520,2.8,0.79,0.95,216,7,0.69,"Word of Mouth","Debit Card","Home Decor","Beauty",5,3,"Budget"
"CUST-00122",46,"Male","Chennai","Bachelor","Engineer",118779,"2022-02-13",7817,1,251,10218,2.2,0.32,0.54,593,1,0.35,"In-Store","Net Banking","Fashion","Travel",0,0,"At-Risk"
"CUST-00123",42,"Other","Indore","PhD","Freelancer",105734,"2022-08-24",8777,24,5,499,4.7,0.54,0.54,635,49,0.1,"Word of Mouth","UPI","Electronics","Beauty",2,2,"Loyal"
"CUST-00124",46,"Other","Kolkata","Master","Designer",69645,"2021-09-12",5120,1,363,6562,2.9,0.26,0.73,296,6,0.56,"Mobile App","Debit Card","Fashion","Travel",1,1,"At-Risk"
"CUST-00125",61,"Female","Chennai","Master","Business Owner",96161,"2022-06-24",6197,1,258,8345,2.1,0.23,0.52,439,1,0.33,"Word of Mouth","UPI","Health","Food Delivery",1,3,"At-Risk"
"CUST-00126",18,"Male","Coimbatore","Bachelor","Doctor",37171,"2022-07-09",3651,1,40,1199,2.8,0.98,0.95,206,35,0.44,"Email Campaign","Credit Card","Food Delivery","Home Decor",0,1,"Budget"
"CUST-00127",25,"Female","Delhi","Master","Analyst",610377,"2023-03-13",32319,13,30,3691,4.3,0.62,0.28,997,5,0.09,"Mobile App","Net Banking","Grocery","Home Decor",0,1,"Premium"
"CUST-00128",44,"Female","Chandigarh","High School","Doctor",51107,"2022-08-24",3858,1,50,3144,2.1,0.28,0.5,480,11,0.4,"Word of Mouth","Cash","Grocery","Beauty",4,1,"At-Risk"
"CUST-00129",46,"Female","Chandigarh","Master","Engineer",115361,"2023-09-21",16538,32,9,611,4.8,0.32,0.49,782,30,0.31,"Mobile App","UPI","Health","Beauty",0,4,"Loyal"
"CUST-00130",18,"Male","Indore","Bachelor","Student",21894,"2023-03-13",2845,6,39,1705,3.1,0.85,1,294,16,0.52,"Email Campaign","UPI","Travel","Sports",4,2,"Budget"
"CUST-00131",31,"Male","Delhi","Bachelor","Student",14389,"2021-06-08",3359,1,14,1025,3.6,0.84,0.83,248,26,0.53,"Website","Credit Card","Health","Books",0,2,"Budget"
"CUST-00132",19,"Other","Delhi","Diploma","Teacher",28787,"2022-01-25",1136,5,156,252,3.2,0.77,0.9,224,6,0.62,"Email Campaign","Credit Card","Beauty","Sports",0,0,"Budget"
"CUST-00133",20,"Female","Bhopal","High School","Designer",28813,"2023-03-19",3655,8,80,846,2.9,0.9,1,189,21,0.79,"In-Store","Net Banking","Travel","Grocery",1,2,"Budget"
"CUST-00134",46,"Female","Bangalore","Bachelor","Salesperson",77927,"2020-05-02",22810,28,10,692,5,0.55,0.44,753,59,0.19,"Mobile App","Debit Card","Home Decor","Health",3,0,"Loyal"
